Candidate Name,Existing Candidate Profile URL,Source,Notes
Gloria De Piero,https://candidates.democracyclub.org.uk/person/3365/gloria-de-piero,https://www.chad.co.uk/news/politics/ashfield-mp-gloria-de-piero-to-stand-down-before-next-general-election-1-9888999,
Geoffrey Robinson,https://candidates.democracyclub.org.uk/person/1572/geoffrey-robinson,https://www.coventrytelegraph.net/news/coventry-news/geoffrey-robinson-labour-coventry-16551795,
Roberta Blackman-Woods,https://candidates.democracyclub.org.uk/person/319/roberta-blackman-woods,https://twitter.com/robertabwMP/status/1151107796852756480,
Guto Bebb,https://candidates.democracyclub.org.uk/person/1412/guto-bebb,https://www.bbc.co.uk/news/uk-wales-48980318,
Teresa Pearce,https://candidates.democracyclub.org.uk/person/3749/teresa-pearce,https://853london.com/2019/07/08/erith-thamesmead-mp-teresa-pearce-to-stand-down/,
Kate Hoey,https://candidates.democracyclub.org.uk/person/2914/kate-hoey,https://www.bbc.co.uk/news/uk-politics-48909477,
Stephen Twigg,https://candidates.democracyclub.org.uk/person/2469/stephen-twigg,https://www.bbc.co.uk/news/uk-politics-48909477,
Stephen Pound,https://candidates.democracyclub.org.uk/person/2147/steve-pound,https://www.bbc.co.uk/news/uk-politics-48909477,
Kevin Barron,https://candidates.democracyclub.org.uk/person/3080/kevin-barron,https://www.yorkshirepost.co.uk/news/opinion/south-yorkshire-mp-kevin-barron-says-he-will-stand-down-at-the-next-election-after-36-years-in-the-commons-1-9855883,
Jim Fitzpatrick,https://candidates.democracyclub.org.uk/person/2884/jim-fitzpatrick,https://twitter.com/FitzMP/status/1143406219308277760,
Jeremy LeFroy,https://candidates.democracyclub.org.uk/person/2877/jeremy-lefroy,https://www.bbc.co.uk/news/uk-england-stoke-staffordshire-48628670,
Ronnie Campbell,https://candidates.democracyclub.org.uk/person/1185/ronnie-campbell,https://www.newspostleader.co.uk/news/politics/ronnie-campbell-longest-serving-blyth-valley-mp-will-stand-down-at-next-election-314301,
David Tredinnick,https://candidates.democracyclub.org.uk/person/385/david-tredinnick,https://www.leicestermercury.co.uk/news/local-news/david-tredinnick-says-not-stand-2549824,
Glyn Davies,https://candidates.democracyclub.org.uk/person/2754/glyn-davies,https://www.bbc.co.uk/news/uk-wales-politics-48281122,
Kenneth Clarke,https://candidates.democracyclub.org.uk/person/3609/kenneth-clarke,https://www.theguardian.com/politics/2019/jun/27/tory-veteran-mp-ken-clarke-im-minded-to-step-down-now,
Albert Owen,https://candidates.democracyclub.org.uk/person/800/albert-owen,https://www.bbc.co.uk/news/uk-wales-politics-49353002,
Oliver Letwin,https://candidates.democracyclub.org.uk/person/2256/oliver-letwin,https://www.dorsetecho.co.uk/news/17852122.sir-oliver-letwin-stand-west-dorset-mp-next-election/,
Norman Lamb,https://candidates.democracyclub.org.uk/person/643/norman-lamb,https://www.edp24.co.uk/news/politics/norman-lamb-north-norfolk-not-standing-1-6235903,
Richard Harrington,https://candidates.democracyclub.org.uk/person/1980/richard-harrington,https://www.watfordobserver.co.uk/news/17869240.watford-mp-richard-harrington-announces-will-stand-next-election/,
Justine Greening,https://candidates.democracyclub.org.uk/person/4021/justine-greening,https://twitter.com/bbclaurak/status/1168769690715459586,
Keith Simpson,https://candidates.democracyclub.org.uk/person/1807/keith-simpson,https://twitter.com/KeithSimpsonMP/status/1168814966188761088,
Vince Cable,https://candidates.democracyclub.org.uk/person/3652/vince-cable,https://twitter.com/HouseofCommons/status/1153342152417644544,
Alistair Burt,https://candidates.democracyclub.org.uk/person/1636/alistair-burt,https://twitter.com/SkyNewsBreak/status/1168892080590131208,
Nicholas Soames,https://candidates.democracyclub.org.uk/person/4071/nicholas-soames,https://twitter.com/BBCNewsnight/status/1169004772638240769,
Michael Fallon,https://candidates.democracyclub.org.uk/person/2832/michael-fallon,https://twitter.com/BBCHelenCatt/status/1169356745136922624,
Caroline Spelman,https://candidates.democracyclub.org.uk/person/1547/caroline-spelman,https://www.bloomberg.com/news/articles/2019-09-04/senior-u-k-tory-spelman-to-quit-parliament-over-brexit-fears,
Nick Hurd,https://candidates.democracyclub.org.uk/person/82/nick-hurd,https://twitter.com/NickHurdUK/status/1169657213507571714,
Claire Perry,https://candidates.democracyclub.org.uk/person/1573/claire-perry,https://twitter.com/claireperrymp/status/1169938989639450625,
Paul Farrelly,https://candidates.democracyclub.org.uk/person/2041/paul-farrelly,https://www.bbc.co.uk/news/uk-england-stoke-staffordshire-49621105,
John Mann,https://candidates.democracyclub.org.uk/person/3654/john-mann,https://www.thetimes.co.uk/article/7754dd94-d191-11e9-bfe0-b5ac4ce6ca95,
Jo Johnson,https://candidates.democracyclub.org.uk/person/2204/jo-johnson,https://twitter.com/JoJohnsonUK/status/1169555292918571008,
