item,geo,gss
http://www.wikidata.org/entity/Q988601,Point(-3.007 53.647),E14000429
http://www.wikidata.org/entity/Q988601,Point(-3.007 53.647),E14000958
http://www.wikidata.org/entity/Q988607,Point(0.66 51.55),E14000428
http://www.wikidata.org/entity/Q988607,Point(0.66 51.55),E14000957
http://www.wikidata.org/entity/Q988615,Point(-1.4167 50.9333),E14000427
http://www.wikidata.org/entity/Q988615,Point(-1.4167 50.9333),E14000956
http://www.wikidata.org/entity/Q988625,Point(-1.35 50.9167),E14000426
http://www.wikidata.org/entity/Q988625,Point(-1.35 50.9167),E14000955
http://www.wikidata.org/entity/Q988637,Point(0.48 51.5355),E14000933
http://www.wikidata.org/entity/Q988645,Point(0.154 52.12),E14000408
http://www.wikidata.org/entity/Q988645,Point(0.154 52.12),E14000934
http://www.wikidata.org/entity/Q988730,Point(-1.55 52.8),E14000409
http://www.wikidata.org/entity/Q988730,Point(-1.55 52.8),E14000935
http://www.wikidata.org/entity/Q988740,Point(0.31 52.131),E14000411
http://www.wikidata.org/entity/Q988740,Point(0.31 52.131),E14000937
http://www.wikidata.org/entity/Q988746,Point(-2.186 51.26),E14000954
http://www.wikidata.org/entity/Q988793,Point(-0.7 51.15),E14000425
http://www.wikidata.org/entity/Q988793,Point(-0.7 51.15),E14000953
http://www.wikidata.org/entity/Q988801,Point(0.6 52.5),E14000424
http://www.wikidata.org/entity/Q988801,Point(0.6 52.5),E14000952
http://www.wikidata.org/entity/Q988809,Point(-0.5333 51.7333),E14000423
http://www.wikidata.org/entity/Q988809,Point(-0.5333 51.7333),E14000951
http://www.wikidata.org/entity/Q988814,Point(-3.992 50.395),E14000422
http://www.wikidata.org/entity/Q988814,Point(-3.992 50.395),E14000950
http://www.wikidata.org/entity/Q988826,Point(-0.491 51.958),E14000421
http://www.wikidata.org/entity/Q988826,Point(-0.491 51.958),E14000949
http://www.wikidata.org/entity/Q988835,Point(1.3667 51.3),E14000420
http://www.wikidata.org/entity/Q988835,Point(1.3667 51.3),E14000948
http://www.wikidata.org/entity/Q988843,Point(-1.782 51.559),E14000419
http://www.wikidata.org/entity/Q988843,Point(-1.782 51.559),E14000947
http://www.wikidata.org/entity/Q988848,Point(0.9 52.0),E14000418
http://www.wikidata.org/entity/Q988848,Point(0.9 52.0),E14000946
http://www.wikidata.org/entity/Q988859,Point(-1.414 54.973),E14000416
http://www.wikidata.org/entity/Q988859,Point(-1.414 54.973),E14000944
http://www.wikidata.org/entity/Q988873,Point(-2.697 53.717),E14000415
http://www.wikidata.org/entity/Q988873,Point(-2.697 53.717),E14000943
http://www.wikidata.org/entity/Q988884,Point(-1.05 52.1),E14000942
http://www.wikidata.org/entity/Q988942,Point(1.4 52.5),E14000414
http://www.wikidata.org/entity/Q988942,Point(1.4 52.5),E14000941
http://www.wikidata.org/entity/Q988954,Point(-1.2 52.5),E14000940
http://www.wikidata.org/entity/Q988966,Point(-0.1 52.75),E14000413
http://www.wikidata.org/entity/Q988966,Point(-0.1 52.75),E14000939
http://www.wikidata.org/entity/Q988977,Point(-4.52 50.414),E14000412
http://www.wikidata.org/entity/Q988977,Point(-4.52 50.414),E14000938
http://www.wikidata.org/entity/Q989007,Point(-0.592 51.512),E14000405
http://www.wikidata.org/entity/Q989007,Point(-0.592 51.512),E14000930
http://www.wikidata.org/entity/Q989017,Point(-2.51 51.1),E14000407
http://www.wikidata.org/entity/Q989017,Point(-2.51 51.1),E14000932
http://www.wikidata.org/entity/Q989027,Point(-1.78 52.41),E14000406
http://www.wikidata.org/entity/Q989027,Point(-1.78 52.41),E14000931
http://www.wikidata.org/entity/Q989041,Point(-0.57 53.5),E14000389
http://www.wikidata.org/entity/Q989041,Point(-0.57 53.5),E14000914
http://www.wikidata.org/entity/Q989206,Point(-0.5 53.05),E14000404
http://www.wikidata.org/entity/Q989206,Point(-0.5 53.05),E14000929
http://www.wikidata.org/entity/Q989226,Point(-1.833 54.162),E14000403
http://www.wikidata.org/entity/Q989226,Point(-1.833 54.162),E14000928
http://www.wikidata.org/entity/Q989270,Point(-1.3 51.96),E14000010
http://www.wikidata.org/entity/Q989270,Point(-1.3 51.96),E14000539
http://www.wikidata.org/entity/Q1031352,Point(0.7833 51.35),E14000402
http://www.wikidata.org/entity/Q1031352,Point(0.7833 51.35),E14000927
http://www.wikidata.org/entity/Q1031497,Point(-2.769 52.665),E14000401
http://www.wikidata.org/entity/Q1031497,Point(-2.769 52.665),E14000926
http://www.wikidata.org/entity/Q1031659,Point(-1.8 53.85),E14000400
http://www.wikidata.org/entity/Q1031659,Point(-1.8 53.85),E14000925
http://www.wikidata.org/entity/Q1031709,Point(-1.13 53.07),E14000399
http://www.wikidata.org/entity/Q1031709,Point(-1.13 53.07),E14000924
http://www.wikidata.org/entity/Q1031720,Point(-1.467 53.369),E14000397
http://www.wikidata.org/entity/Q1031720,Point(-1.467 53.369),E14000923
http://www.wikidata.org/entity/Q1031731,Point(-1.523 53.355),E14000396
http://www.wikidata.org/entity/Q1031731,Point(-1.523 53.355),E14000922
http://www.wikidata.org/entity/Q1031745,Point(-1.452 53.411),E14000921
http://www.wikidata.org/entity/Q1031751,Point(-1.429 53.362),E14000920
http://www.wikidata.org/entity/Q1031768,Point(0.1833 51.3333),E14000392
http://www.wikidata.org/entity/Q1031768,Point(0.1833 51.3333),E14000918
http://www.wikidata.org/entity/Q1031788,Point(-1.079 53.777),E14000917
http://www.wikidata.org/entity/Q1031797,Point(-2.985 53.523),E14000916
http://www.wikidata.org/entity/Q1031806,Point(-1.5 54.6),E14000390
http://www.wikidata.org/entity/Q1031806,Point(-1.5 54.6),E14000915
http://www.wikidata.org/entity/Q1031819,Point(-0.56 54.37),E14000388
http://www.wikidata.org/entity/Q1031819,Point(-0.56 54.37),E14000913
http://www.wikidata.org/entity/Q1031840,Point(-1.79 51.07),E14000387
http://www.wikidata.org/entity/Q1031840,Point(-1.79 51.07),E14000912
http://www.wikidata.org/entity/Q1031863,Point(-2.34 53.51),E14000911
http://www.wikidata.org/entity/Q1031869,Point(0.35 51.95),E14000381
http://www.wikidata.org/entity/Q1031869,Point(0.35 51.95),E14000910
http://www.wikidata.org/entity/Q1031877,Point(-0.8 52.7),E14000379
http://www.wikidata.org/entity/Q1031877,Point(-0.8 52.7),E14000909
http://www.wikidata.org/entity/Q1031884,Point(-4.175 55.807),S14000056
http://www.wikidata.org/entity/Q1031895,Point(-1.09 52.87),E14000378
http://www.wikidata.org/entity/Q1031895,Point(-1.09 52.87),E14000908
http://www.wikidata.org/entity/Q1031923,Point(-1.35 52.4),E14000905
http://www.wikidata.org/entity/Q1031928,Point(-1.357 53.43),E14000374
http://www.wikidata.org/entity/Q1031928,Point(-1.357 53.43),E14000904
http://www.wikidata.org/entity/Q1031931,Point(-1.357 53.43),E14000373
http://www.wikidata.org/entity/Q1031931,Point(-1.357 53.43),E14000903
http://www.wikidata.org/entity/Q1031940,Point(-2.24 53.708),E14000372
http://www.wikidata.org/entity/Q1031940,Point(-2.24 53.708),E14000902
http://www.wikidata.org/entity/Q1031947,Point(-5.896 57.274),S14000055
http://www.wikidata.org/entity/Q1031958,Point(0.187 51.588),E14000370
http://www.wikidata.org/entity/Q1031958,Point(0.187 51.588),E14000900
http://www.wikidata.org/entity/Q1031965,Point(0.81 51.55),E14000369
http://www.wikidata.org/entity/Q1031965,Point(0.81 51.55),E14000899
http://www.wikidata.org/entity/Q1031975,Point(0.5 51.4),E14000898
http://www.wikidata.org/entity/Q1032004,Point(-2.16 53.61),E14000368
http://www.wikidata.org/entity/Q1032004,Point(-2.16 53.61),E14000897
http://www.wikidata.org/entity/Q1032015,Point(-0.278 51.447),E14000367
http://www.wikidata.org/entity/Q1032015,Point(-0.278 51.447),E14000896
http://www.wikidata.org/entity/Q1032035,Point(-1.653 54.405),E14000366
http://www.wikidata.org/entity/Q1032035,Point(-1.653 54.405),E14000895
http://www.wikidata.org/entity/Q1032052,Point(-2.391 53.873),E14000365
http://www.wikidata.org/entity/Q1032052,Point(-2.391 53.873),E14000894
http://www.wikidata.org/entity/Q1032085,Point(-1.95 52.25),E14000362
http://www.wikidata.org/entity/Q1032085,Point(-1.95 52.25),E14000892
http://www.wikidata.org/entity/Q1032098,Point(-1.078 54.603),E14000361
http://www.wikidata.org/entity/Q1032098,Point(-1.078 54.603),E14000891
http://www.wikidata.org/entity/Q1032106,Point(-0.99 51.46),E14000360
http://www.wikidata.org/entity/Q1032106,Point(-0.99 51.46),E14000890
http://www.wikidata.org/entity/Q1032131,Point(-0.95 51.46),E14000359
http://www.wikidata.org/entity/Q1032131,Point(-0.95 51.46),E14000889
http://www.wikidata.org/entity/Q1032138,Point(0.7 51.6),E14000888
http://www.wikidata.org/entity/Q1032224,Point(-3.497 50.546),E14000835
http://www.wikidata.org/entity/Q1032235,Point(-1.361 53.717),E14000836
http://www.wikidata.org/entity/Q1032268,Point(-2.8336 56.5222),S14000015
http://www.wikidata.org/entity/Q1032281,Point(-3.0847 56.5042),S14000016
http://www.wikidata.org/entity/Q1032300,Point(-3.43 56.057),S14000017
http://www.wikidata.org/entity/Q1032319,Point(-0.02 51.389),E14000023
http://www.wikidata.org/entity/Q1032319,Point(-0.02 51.389),E14000551
http://www.wikidata.org/entity/Q1032329,Point(-0.46 52.14),E14000024
http://www.wikidata.org/entity/Q1032329,Point(-0.46 52.14),E14000552
http://www.wikidata.org/entity/Q1032412,Point(-4.961111111 51.941111111),W07000014
http://www.wikidata.org/entity/Q1032412,Point(-4.961111111 51.941111111),W07000065
http://www.wikidata.org/entity/Q1032433,Point(-1.079 50.787),E14000354
http://www.wikidata.org/entity/Q1032433,Point(-1.079 50.787),E14000884
http://www.wikidata.org/entity/Q1032451,Point(-0.02 51.5),E14000882
http://www.wikidata.org/entity/Q1032459,Point(-1.98 50.72),E14000351
http://www.wikidata.org/entity/Q1032459,Point(-1.98 50.72),E14000881
http://www.wikidata.org/entity/Q1032468,Point(-3.35 51.601),W07000027
http://www.wikidata.org/entity/Q1032468,Point(-3.35 51.601),W07000075
http://www.wikidata.org/entity/Q1032482,Point(-1.63 54.86),E14000309
http://www.wikidata.org/entity/Q1032482,Point(-1.63 54.86),E14000840
http://www.wikidata.org/entity/Q1032489,Point(-0.574 52.221),E14000310
http://www.wikidata.org/entity/Q1032489,Point(-0.574 52.221),E14000841
http://www.wikidata.org/entity/Q1032502,Point(0.375 52.433),E14000311
http://www.wikidata.org/entity/Q1032502,Point(0.375 52.433),E14000842
http://www.wikidata.org/entity/Q1032512,Point(-1.55 53.24),E14000843
http://www.wikidata.org/entity/Q1032537,Point(-2.1976 51.0058),E14000308
http://www.wikidata.org/entity/Q1032537,Point(-2.1976 51.0058),E14000839
http://www.wikidata.org/entity/Q1032551,Point(-4.0 51.06),E14000307
http://www.wikidata.org/entity/Q1032551,Point(-4.0 51.06),E14000838
http://www.wikidata.org/entity/Q1032559,Point(-4.594 50.689),E14000306
http://www.wikidata.org/entity/Q1032559,Point(-4.594 50.689),E14000837
http://www.wikidata.org/entity/Q1032569,Point(-4.915 55.637),S14000048
http://www.wikidata.org/entity/Q1050608,Point(-4.141 50.37),E14000880
http://www.wikidata.org/entity/Q1050631,Point(-4.14 50.411),E14000879
http://www.wikidata.org/entity/Q1050650,Point(-0.25 52.5833),E14000347
http://www.wikidata.org/entity/Q1050650,Point(-0.25 52.5833),E14000878
http://www.wikidata.org/entity/Q1050667,Point(-3.435 56.395),S14000054
http://www.wikidata.org/entity/Q1050693,Point(-2.7 54.7),E14000346
