Constituency,Standing Down,GE2017 Share,GE2017 Position,Implied Support,GE2017 Share,GE2017 Position,Source
ALL GE2017 CON SEATS,BXP,N/A,N/A,CON,N/A,N/A,Farage
Aberdeen South,GRN,N/A,N/A,SNP,31.5%,2nd,https://twitter.com/AberdeenGreens/status/1193528520795918337/photo/1
Angus,GRN,N/A,N/A,SNP,38.6%,2nd,https://leftfootforward.org/2019/11/scottish-greens-step-aside-to-help-beat-tories-in-three-seats/
Arfon,LDM,2.3%,4th,PLC,40.8%,1st,https://twitter.com/ElganPowysLDR/status/1190582291875139584
Arfon,GRN,N/A,N/A,PLC,40.8%,1st,https://www.bbc.co.uk/news/uk-wales-50325815
Banff and Buchan ,GRN,N/A,N/A,SNP,39.1%,2nd,https://twitter.com/AberdeenGreens/status/1193528520795918337
Bath,GRN,2.3%,4th,LDM,47.3%,1st,https://twitter.com/adampayne26/status/1192381242165137410?s=19
Beaconsfield,LDM,7.9%,3rd,IND (Grieve),65.3% (CON),1st (CON),https://twitter.com/Doozy_45/status/1189561028822089728?s=20
Bermondsy & Old Southwark,GRN,1.1%,5th,LDM,31.1%,2nd,https://twitter.com/adampayne26/status/1192381242165137410?s=19
"Berwickshire, Roxburgh and Selkirk",GRN,N/A,N/A,SNP,32.8%,2nd,https://twitter.com/ITVBorderRB/status/1194237984897425411
Braintree,GRN,1.8%,5th, IND (Beavis),N/A,N/A,https://twitter.com/JoBeavis/status/1190566879431184384?s=19 
Brecon & Radnorshire,GRN,N/A,N/A,LDM,29.1%,2nd,https://twitter.com/adampayne26/status/1192381242165137410?s=19
Brecon and Radnorshire,PLC,3.1%,4th,LDM,29.1%,2nd,https://twitter.com/ElganPowysLDR/status/1190582291875139584
Brighton Pavillion,LDM,N/A,N/A,GRN,52.3%,1st,https://twitter.com/adampayne26/status/1192381242165137410?s=19
Bristol West,LDM,7.3%,4th,GRN,12.9%,3rd,https://twitter.com/adampayne26/status/1192381242165137410?s=19
Broxtowe,LDM,4.0%,3rd,IGC,46.8% (CON),1st (CON),https://twitter.com/petesaull/status/1190598266150359040?s=20
Buckingham,GRN,16.6%,2nd,LDM,N/A,N/A,https://twitter.com/adampayne26/status/1192381242165137410?s=19
Bury St Edmunds,LDM,5.7%,3rd,GRN,4.2%,4th,https://twitter.com/adampayne26/status/1192381242165137410?s=19
Caerphilly,LDM,1.8%,5th,PLC,14.4%,3rd,https://twitter.com/adampayne26/status/1192381242165137410?s=19
Caerphilly,GRN,1.1%,6th,PLC,14.4%,3rd,https://twitter.com/adampayne26/status/1192381242165137410?s=19
Calder Valley,GRN,1.1%,6th,LAB,45.1%,2nd,https://twitter.com/CalderGreens/status/1189684256466964481?s=20
Cannock Chase,LDM,1.7%,5th,GRN,1.7%,4th,https://twitter.com/adampayne26/status/1192381242165137410?s=19
Cardiff Central,PLC,2.5%,4th,LDM,13.4%,3rd,https://www.bbc.co.uk/news/uk-wales-50325815
Cardiff Central,GRN,1.0%,5th,LDM,"13,4%",3rd,https://www.bbc.co.uk/news/uk-wales-50325815
Carmarthen East,LDM,2.2%,5th,PLC,39.3%,1st,https://twitter.com/ElganPowysLDR/status/1190582291875139584
Carmarthen East,GRN,N/A,N/A,PLC,39.3%,1st,https://www.bbc.co.uk/news/uk-wales-50325815
Cheadle,GRN,N/A,N/A,LDM,36.3%,2nd,https://twitter.com/adampayne26/status/1192381242165137410?s=19
Chelmsford,GRN,1.4%,5th,LDM,12.20%,3rd,https://twitter.com/adampayne26/status/1192381242165137410?s=19
Chelsea & Fulham,GRN,1.9%,4th,LDM,11.0%,3rd,https://twitter.com/adampayne26/status/1192381242165137410?s=19
Cheltenham,GRN,11.0%,3rd,LDM,42.2%,2nd,https://twitter.com/adampayne26/status/1192381242165137410?s=19
Chingford & Woodford Green,GRN,2.6%,4th,LAB,43.9%,2nd,https://wfrb.greenparty.org.uk/news/2019/11/10/general-election-greens-standing-aside-in-chingford-and-woodford-green/
Chippenham,GRN,N/A,N/A,LDM,25.6%,2nd,https://twitter.com/adampayne26/status/1192381242165137410?s=19
Dulwich & West Norwood,LDM,8.0%,3rd,GRN,2.5%,4th,https://twitter.com/adampayne26/status/1192381242165137410?s=19
Dumfries and Galloway,GRN,N/A,N/A,SNP,32.4%,2nd,https://twitter.com/ITVBorderRB/status/1194237984897425411
"Dumfriesshire, Clydesdale and Tweeddale",GRN,N/A,N/A,SNP,30.1%,2nd,https://twitter.com/ITVBorderRB/status/1194237984897425411
Dundee East,GRN,N/A,N/A,SNP,42.8%,1st,https://twitter.com/AdamRamsay/status/1193831864735346689/photo/1
