constituency,ons_id,remain_pct_2017,Best for Britain,Best for Britain alignment,DontSplit main,DontSplit main alignment,Essex Against The Tories,Essex Against The Tories alignment,Jon Worth,Jon Worth alignment,People's Vote,People's Vote alignment,People's Vote (early indication),People's Vote (early indication) alignment,Remain United,Remain United alignment,tactical.vote,tactical.vote alignment,tacticalvote.co.uk,tacticalvote.co.uk alignment
aberavon,W07000049,0.7641878081038835,lab,5,lab,5,,,,,lab,5,,,lab,5,lab,5,lab,5
aberconwy,W07000058,0.554059097978227,lab,4,,,,,,,lab,4,,,lab,4,lab,4,lab,4
aberdeen-north,S14000001,0.7588758603803356,,,snp,2,,,,,,,,,snp,2,snp,2,,
aberdeen-south,S14000002,0.5786752972377679,,,snp,3,,,,,,,,,snp,3,snp,3,snp,3
airdrie-and-shotts,S14000003,0.7680911530972054,,,,,,,,,,,,,,,snp,0,,
aldershot,E14000530,0.4127477017364658,ld,-3,,,,,,,lab,1,,,lab,1,lab,1,,
aldridge-brownhills,E14000531,0.33187523300608923,lab,4,,,,,,,lab,4,,,lab,4,lab,4,lab,4
altrincham-and-sale-west,E14000532,0.4652017427543095,ld,-1,,,,,ld,-1,,,,,lab,-1,lab,-1,,
alyn-and-deeside,W07000043,0.5711126005361931,lab,4,,,,,,,lab,4,,,lab,4,lab,4,lab,4
amber-valley,E14000533,0.4083080482853463,lab,5,lab,5,,,,,lab,5,,,lab,5,lab,5,lab,5
angus,S14000004,0.5484673566878981,,,snp,3,,,,,,,,,snp,3,snp,3,snp,3
arfon,W07000057,0.8364293817356778,plaid,1,,,,,,,plaid,1,,,,,,,,
argyll-and-bute,S14000005,0.6676444278017016,,,snp,3,,,,,,,,,snp,3,snp,3,snp,3
arundel-and-south-downs,E14000534,0.3487619490175252,ld,1,,,,,,,ld,1,,,ld,1,lab,-3,,
ashfield,E14000535,0.4257596063448883,lab,6,lab,6,,,lab,6,lab,6,,,lab,6,lab,6,lab,6
ashford,E14000536,0.3731358239115549,lab,4,,,,,,,lab,4,,,lab,4,lab,4,lab,4
ashton-under-lyne,E14000537,0.6035501470847057,lab,5,lab,5,,,,,lab,5,,,lab,5,lab,5,lab,5
aylesbury,E14000538,0.41770579929571466,ld,-2,,,,,,,,,,,lab,0,lab,0,,
ayr-carrick-and-cumnock,S14000006,0.5798104798580763,,,snp,3,,,,,,,,,snp,3,snp,3,snp,3
banbury,E14000539,0.3970143919950619,lab,4,,,,,,,lab,4,,,lab,4,lab,4,lab,4
banff-and-buchan,S14000007,0.5203035324064068,,,snp,3,,,,,,,,,snp,3,snp,3,snp,3
barking,E14000540,0.6778455923991694,lab,4,,,,,,,lab,4,,,lab,4,lab,4,lab,4
barnsley-central,E14000541,0.639138332437895,lab,5,lab,5,,,,,lab,5,,,lab,5,lab,5,lab,5
barnsley-east,E14000542,0.5954483029232882,lab,5,lab,5,,,,,lab,5,,,lab,5,lab,5,lab,5
barrow-and-furness,E14000543,0.5015759613364151,lab,4,,,,,,,lab,4,,,lab,4,lab,4,lab,4
basildon-and-billericay,E14000544,0.345718865488223,lab,5,,,lab,5,,,lab,5,,,lab,5,lab,5,lab,5
basingstoke,E14000545,0.4190493209435311,ld,-3,,,,,,,lab,1,,,lab,1,lab,1,,
bassetlaw,E14000546,0.5477703349282297,lab,5,lab,5,,,,,lab,5,,,lab,5,lab,5,lab,5
bath,E14000547,0.642175745719299,ld,5,ld,5,,,,,ld,5,,,ld,5,ld,5,ld,5
batley-and-spen,E14000548,0.5776868724432874,lab,5,lab,5,,,,,lab,5,,,lab,5,lab,5,lab,5
battersea,E14000549,0.5393040066838607,lab,4,,,,,,,lab,4,,,lab,4,lab,4,lab,4
beaconsfield,E14000550,0.3187691868351539,ind,2,,,,,ind,2,ind,2,,,,,,,,
beckenham,E14000551,0.4067015301181484,ld,-2,,,,,,,,,,,lab,0,lab,0,,
bedford,E14000552,0.547792904290429,lab,4,,,,,,,lab,4,,,lab,4,lab,4,lab,4
belfast-east,N06000001,0.38090463977617156,,,alliance,4,,,,,alliance,4,,,alliance,4,alliance,4,alliance,4
belfast-north,N06000002,0.5157610588645072,,,,,,,,,sf,3,,,sf,3,sf,3,sf,3
belfast-south,N06000003,0.6551424322159937,,,,,,,,,sdlp,2,,,,,sdlp,2,sdlp,2
belfast-west,N06000004,0.7375039992124628,,,,,,,,,,,,,sf,1,sf,1,,
bermondsey-and-old-southwark,E14000553,0.8432870251704516,,,,,,,,,lab,0,,,,,,,,
berwickshire-roxburgh-and-selkirk,S14000008,0.4612446769912349,,,snp,2,,,,,,,,,snp,2,snp,2,,
berwick-upon-tweed,E14000554,0.45674215862787826,ld,1,,,,,,,ld,1,,,ld,1,lab,-3,,
bethnal-green-and-bow,E14000555,0.7934308399498538,lab,4,,,,,,,lab,4,,,lab,4,lab,4,lab,4
beverley-and-holderness,E14000556,0.3822028110284338,lab,4,,,,,,,lab,4,,,lab,4,lab,4,lab,4
bexhill-and-battle,E14000557,0.3465832660747915,ld,0,,,,,,,,,,,ld,0,lab,-2,,
bexleyheath-and-crayford,E14000558,0.3815309035384718,lab,5,lab,5,,,,,lab,5,,,lab,5,lab,5,lab,5
birkenhead,E14000559,0.8157707899136569,lab,3,,,,,,,lab,3,,,lab,3,lab,3,,
birmingham-edgbaston,E14000560,0.5890121984774833,lab,4,,,,,,,lab,4,,,lab,4,lab,4,lab,4
birmingham-erdington,E14000561,0.5997528011392643,lab,5,lab,5,,,,,lab,5,,,lab,5,lab,5,lab,5
birmingham-hall-green,E14000562,0.8337322776652549,lab,4,,,,,,,lab,4,,,lab,4,lab,4,lab,4
birmingham-hodge-hill,E14000563,0.810578954175109,lab,4,,,,,,,lab,4,,,lab,4,lab,4,lab,4
birmingham-ladywood,E14000564,0.85510930350788,lab,4,,,,,,,lab,4,,,lab,4,lab,4,lab,4
birmingham-northfield,E14000565,0.5536890051411564,lab,5,lab,5,,,,,lab,5,,,lab,5,lab,5,lab,5
birmingham-perry-barr,E14000566,0.7056813810892142,lab,4,,,,,,,lab,4,,,lab,4,lab,4,lab,4
birmingham-selly-oak,E14000567,0.6630601204450343,lab,4,,,,,,,lab,4,,,lab,4,lab,4,lab,4
birmingham-yardley,E14000568,0.7501235899510135,lab,4,,,,,,,lab,4,,,lab,4,lab,4,lab,4
bishop-auckland,E14000569,0.5079365079365079,lab,6,lab,6,,,,,lab,6,lab,6,lab,6,lab,6,lab,6
blackburn,E14000570,0.6976323266336946,lab,4,,,,,,,lab,4,,,lab,4,lab,4,lab,4
blackley-and-broughton,E14000571,0.7044599007802957,lab,4,,,,,,,lab,4,,,lab,4,lab,4,lab,4
blackpool-north-and-cleveleys,E14000572,0.4446070183139464,lab,5,lab,5,,,,,lab,5,,,lab,5,lab,5,lab,5
blackpool-south,E14000573,0.5029897290647442,lab,5,lab,5,,,,,lab,5,,,lab,5,lab,5,lab,5
blaenau-gwent,W07000072,0.7925827569169961,lab,3,lab,3,,,,,lab,3,,,lab,3,,,,
blaydon,E14000574,0.6518800432576326,lab,4,,,,,,,lab,4,,,lab,4,lab,4,lab,4
blyth-valley,E14000575,0.6268533772652389,lab,5,lab,5,,,,,lab,5,,,lab,5,lab,5,lab,5
bognor-regis-and-littlehampton,E14000576,0.314184452406917,ld,-3,,,,,,,lab,1,,,lab,1,lab,1,,
bolsover,E14000577,0.5487005309658419,lab,5,lab,5,,,,,lab,5,,,lab,5,lab,5,lab,5
bolton-north-east,E14000578,0.5352898213930017,lab,5,lab,5,,,,,lab,5,,,lab,5,lab,5,lab,5
bolton-south-east,E14000579,0.6066677692980176,lab,4,,,,,,,lab,4,,,lab,4,lab,4,lab,4
